#Mass [GeV] , Central value [fb] , error down [fb] , error up [fb] , error pdf down [fb] , error pdf up [fb] , error scale down [fb] , error scale up [fb]
50.0 , 5368.16 , -118.777 , 209.172 , 0 , 0 , 0 , 0
90.0 , 526.345 , -8.78739 , 10.1863 , 0 , 0 , 0 , 0
100.0 , 365.721 , -6.18555 , 6.7256 , 0 , 0 , 0 , 0
125.0 , 166.905 , -2.85367 , 2.91498 , 0 , 0 , 0 , 0
150.0 , 87.1162 , -1.46131 , 1.49402 , 0 , 0 , 0 , 0
175.0 , 49.7506 , -0.93294 , 0.940319 , 0 , 0 , 0 , 0
200.0 , 30.3144 , -0.609044 , 0.598141 , 0 , 0 , 0 , 0
225.0 , 19.4106 , -0.405353 , 0.389445 , 0 , 0 , 0 , 0
250.0 , 12.9203 , -0.270671 , 0.2547 , 0 , 0 , 0 , 0
275.0 , 8.8748 , -0.191072 , 0.179631 , 0 , 0 , 0 , 0
300.0 , 6.25417 , -0.142035 , 0.133574 , 0 , 0 , 0 , 0
350.0 , 3.30329 , -0.0841168 , 0.079625 , 0 , 0 , 0 , 0
400.0 , 1.8592 , -0.0542136 , 0.0520999 , 0 , 0 , 0 , 0
450.0 , 1.09799 , -0.0349667 , 0.0337938 , 0 , 0 , 0 , 0
500.0 , 0.673633 , -0.0221699 , 0.0217075 , 0 , 0 , 0 , 0
550.0 , 0.425957 , -0.0149628 , 0.0147639 , 0 , 0 , 0 , 0
600.0 , 0.27635 , -0.00998329 , 0.009906 , 0 , 0 , 0 , 0
